record_id,property,species,environment,calculation_key,experimental_Eox_V,implicit_calibrated_xTB_Eox_V,implicit_DFT_Eox_V,explicit_R5_DFT_Eox_V,implicit_xTB_signed_error_V,implicit_DFT_signed_error_V,explicit_R5_DFT_signed_error_V,implicit_xTB_absolute_error_V,implicit_DFT_absolute_error_V,explicit_R5_DFT_absolute_error_V,explicit_minus_implicit_DFT_V,explicit_improvement_over_implicit_DFT_V,explicit_improvement_over_implicit_xTB_V,calculation_qc,source,protocol_or_conditions,normalization
SP-UE94-ACN,solvent_eox,Acetonitrile,Self / neat-solvent implicit environment,acetonitrile__self,3.344,3.83266809,4.4532198,,0.488668090000,1.109219800000,,0.488668090000,1.109219800000,,,,,missing,"M. Ue, K. Ida, S. Mori, J. Electrochem. Soc. 1994, 141, 2989-2996.",0.65 M Et4NBF4 in Acetonitrile; Current density exceeds 1 mA cm^-2,Nominal SCE -> Ag/AgCl(sat. KCl) shift +0.044 V; nonaqueous liquid-junction potential is not corrected.
AP-BUZZEO-CLO4-AU,anion_eox,ClO4−,Acetonitrile,clo4__acetonitrile,2.924,3.99622015,2.903636,,1.072220150000,-0.020364000000,,1.072220150000,0.020364000000,,,,,missing,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",0.1 M TBAP in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
AP-BUZZEO-CLO4-PT,anion_eox,ClO4−,Acetonitrile,clo4__acetonitrile,3.024,3.99622015,2.903636,,0.972220150000,-0.120364000000,,0.972220150000,0.120364000000,,,,,missing,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",0.1 M TBAP in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
AP-UE94-CLO4,anion_eox,ClO4−,Propylene carbonate,clo4__propylene_carbonate,3.144,4.02148731,3.2356594,,0.877487310000,0.091659400000,,0.877487310000,0.091659400000,,,,,missing,"M. Ue, K. Ida, S. Mori, J. Electrochem. Soc. 1994, 141, 2989-2996.",0.65 M Et4N[ClO4−] in propylene carbonate; Current density exceeds 1 mA cm^-2,Nominal SCE -> Ag/AgCl(sat. KCl) shift +0.044 V.
AP-UE97-CLO4,anion_eox,ClO4−,Propylene carbonate,clo4__propylene_carbonate,2.8599999999999994,4.02148731,3.2356594,,1.161487310000,0.375659400000,,1.161487310000,0.375659400000,,,,,missing,"M. Ue, M. Takeda, M. Takehara, S. Mori, J. Electrochem. Soc. 1997, 144, 2684-2688.",0.65 M Et4N[ClO4−] in propylene carbonate; 1 mA cm^-2,Nominal project conversion E(vs Ag/AgCl) = E(vs Li/Li+) - 3.24 V; nonaqueous junction effects are not corrected.
AP-UETHESIS-LICLO4,anion_eox,ClO4−,Propylene carbonate,clo4__propylene_carbonate,3.144,4.02148731,3.2356594,,0.877487310000,0.091659400000,,0.877487310000,0.091659400000,,,,,missing,"M. Ue, Preparation and Properties of Organic Electrolytes for Electrochemical Devices, University of Tokyo, 1994.",1.0 M Li[ClO4−] in propylene carbonate; Current density exceeds 1 mA cm^-2,Nominal reported SCE -> Ag/AgCl shift +0.044 V.
SP-UE94-GBL,solvent_eox,γ-Butyrolactone,Self / neat-solvent implicit environment,gamma_butyrolactone__self,5.244,3.01223612,3.07806064,,-2.231763880000,-2.165939360000,,2.231763880000,2.165939360000,,,,,missing,"M. Ue, K. Ida, S. Mori, J. Electrochem. Soc. 1994, 141, 2989-2996.",0.65 M Et4NBF4 in γ-Butyrolactone; Current density exceeds 1 mA cm^-2,Nominal SCE -> Ag/AgCl(sat. KCl) shift +0.044 V; nonaqueous liquid-junction potential is not corrected.
SP-UE94-PC,solvent_eox,Propylene carbonate,Self / neat-solvent implicit environment,propylene_carbonate__self,3.644,3.29150488,3.5212595,,-0.352495120000,-0.122740500000,,0.352495120000,0.122740500000,,,,,missing,"M. Ue, K. Ida, S. Mori, J. Electrochem. Soc. 1994, 141, 2989-2996.",0.65 M Et4NBF4 in Propylene carbonate; Current density exceeds 1 mA cm^-2,Nominal SCE -> Ag/AgCl(sat. KCl) shift +0.044 V; nonaqueous liquid-junction potential is not corrected.
AP-BEJAOUI-BMIM,anion_eox,TFSI−,Acetonitrile,tfsi__acetonitrile,2.824,3.00030702,2.858475,,0.176307020000,0.034475000000,,0.176307020000,0.034475000000,,,,,missing,"Y. K. J. Bejaoui et al., Chem. Sci. 2023, 14, 2200-2214, Table 4 and ESI.",0.1 M [BMIm]TFSI in acetonitrile; Anodic limit Ea as reported in Table 4,ESI states internal ferrocene referencing. Nominal project Fc+/Fc(ACN) -> Ag/AgCl shift +0.424 V.
AP-BEJAOUI-BMPL,anion_eox,TFSI−,Acetonitrile,tfsi__acetonitrile,2.924,3.00030702,2.858475,,0.076307020000,-0.065525000000,,0.076307020000,0.065525000000,,,,,missing,"Y. K. J. Bejaoui et al., Chem. Sci. 2023, 14, 2200-2214, Table 4 and ESI.",0.1 M [BMPL]TFSI in acetonitrile; Anodic limit Ea as reported in Table 4,ESI states internal ferrocene referencing. Nominal project Fc+/Fc(ACN) -> Ag/AgCl shift +0.424 V.
AP-BEJAOUI-EMIM,anion_eox,TFSI−,Acetonitrile,tfsi__acetonitrile,2.524,3.00030702,2.858475,,0.476307020000,0.334475000000,,0.476307020000,0.334475000000,,,,,missing,"Y. K. J. Bejaoui et al., Chem. Sci. 2023, 14, 2200-2214, Table 4 and ESI.",0.1 M [EMIm]TFSI in acetonitrile; Anodic limit Ea as reported in Table 4,ESI states internal ferrocene referencing. Nominal project Fc+/Fc(ACN) -> Ag/AgCl shift +0.424 V.
AP-BUZZEO-TFSI-EMIM-AU,anion_eox,TFSI−,Acetonitrile,tfsi__acetonitrile,3.024,3.00030702,2.858475,,-0.023692980000,-0.165525000000,,0.023692980000,0.165525000000,,,,,missing,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",0.1 M [C2mim][NTf2] in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
AP-BUZZEO-TFSI-EMIM-PT,anion_eox,TFSI−,Acetonitrile,tfsi__acetonitrile,3.324,3.00030702,2.858475,,-0.323692980000,-0.465525000000,,0.323692980000,0.465525000000,,,,,missing,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",0.1 M [C2mim][NTf2] in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
AP-BUZZEO-TFSI-N6222-AU,anion_eox,TFSI−,Acetonitrile,tfsi__acetonitrile,3.2239999999999998,3.00030702,2.858475,,-0.223692980000,-0.365525000000,,0.223692980000,0.365525000000,,,,,missing,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",0.1 M [N6222][NTf2] in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
AP-BUZZEO-TFSI-N6222-PT,anion_eox,TFSI−,Acetonitrile,tfsi__acetonitrile,3.2239999999999998,3.00030702,2.858475,,-0.223692980000,-0.365525000000,,0.223692980000,0.365525000000,,,,,missing,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",0.1 M [N6222][NTf2] in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
